condition,channel,mean,variance,skewness,kurtosis,peak_to_peak,fft_mean,fft_std,fft_max,wavelet_energy,wavelet_entropy,delta_power,theta_power,slow_alpha_power,alpha_power,beta_power,gamma_power
EO,Fp1,-2.557324989540397e-07,3.859612822174504e-11,0.1248278014286406,1.3027733056801614,7.476184378644006e-05,0.00046212275205768564,0.0014511327465985377,0.028299190470524316,2.3199319622848632e-06,,4.079479064284398e-12,1.9653112094289697e-12,3.1671073446611783e-12,2.398632165386358e-12,2.774221813909178e-13,1.1132210042573307e-13
EO,Fp2,-2.1802890518669477e-07,5.6637941186852783e-11,0.39137826271201537,2.1466292342783566,8.251008765673974e-05,0.0005292868204386925,0.0017664863316286285,0.07545016045397743,3.400854981345766e-06,,8.342280363088881e-12,2.2327052559116395e-12,3.463660746770776e-12,2.6877173740119916e-12,3.421980429766795e-13,1.4942224110758917e-13
EO,F7,-1.2466513435203777e-07,3.468235638363369e-11,-0.0060597433598946135,1.0354492731464147,5.9474616842325746e-05,0.0004446000716593625,0.0013725495845184894,0.03996600224737324,2.086062891403934e-06,,4.695402613372697e-12,1.368018421471493e-12,2.053074465493421e-12,1.6487468738090457e-12,2.5716414901977644e-13,1.2876667354249427e-13
EO,F3,-1.1292424844312002e-07,5.120132256974372e-11,0.034593378335746106,0.965689657800449,7.883789253642363e-05,0.000523807542222173,0.0016727250818287134,0.04512453195033039,3.073558892190078e-06,,5.33431965343585e-12,2.8261880914961837e-12,4.178161023155584e-12,3.035048701765387e-12,3.722792199689264e-13,1.1764143324136188e-13
EO,Fz,-1.0987335393549306e-07,5.890584461148253e-11,0.04530350566995789,0.9980821218883733,8.466406136148127e-05,0.000551797906348842,0.0017972378293429619,0.03341869774349958,3.534612201992764e-06,,5.934902159990755e-12,3.490445593386529e-12,5.091108604334268e-12,3.6309742649282362e-12,4.086890888539476e-13,1.0393206704889455e-13
EO,F4,-9.180509217158445e-08,5.104108873276367e-11,0.02196283288610166,0.7871458477937829,7.295924727290356e-05,0.0005314817744882512,0.0016673448030318711,0.0318893105931643,3.063026989035297e-06,,4.944122275743313e-12,2.830263590522222e-12,4.234805175968584e-12,2.9970552480037606e-12,4.2772691413281073e-13,1.156867159083069e-13
EO,F8,-5.740969362885779e-08,2.6867112853215092e-11,0.04092797359182855,1.0574678112302118,5.39869839324782e-05,0.00040886863625507115,0.0012020021331830665,0.020009647358389074,1.6138737890276273e-06,,2.29419226201323e-12,1.510701838454999e-12,2.4540461122314448e-12,1.6720013584304244e-12,2.5571449489486103e-13,9.782313993882677e-14
EO,FC3,-6.725046025110109e-08,5.0875876578764814e-11,0.011397510801382816,0.8978681453944417,7.800105713032308e-05,0.0005250107498292893,0.0016663522260197535,0.03015141013599741,3.052449288100392e-06,,4.989161929365595e-12,2.8717237699883223e-12,4.080610722708617e-12,3.0128966522846372e-12,4.1747482206839365e-13,1.0259398270086303e-13
EO,FCz,-8.312491362546964e-08,6.858210577943934e-11,0.013187968384782724,0.7206396185193014,8.588657439928378e-05,0.0005940489242457689,0.0019395436335140658,0.03450221186247107,4.115612533931412e-06,,6.751065961268551e-12,4.001894676111425e-12,5.587059001190987e-12,3.965697984462608e-12,5.185488825315378e-13,1.0789317587238693e-13
EO,FC4,-6.750357311882396e-08,5.090055270363366e-11,0.018979559775410475,0.753506697633469,7.168341990913154e-05,0.0005265932215232657,0.001666297692257261,0.029462566161550734,3.0542378289621137e-06,,4.5792956355574225e-12,2.92067577953085e-12,4.279022951423979e-12,3.104066635621766e-12,4.557205382464199e-13,9.620138286039393e-14
EO,T7,1.124692540692711e-08,2.1350727039240252e-11,-0.11818035252728999,1.2218846464520867,4.952351112357911e-05,0.00036843846554750464,0.0010700991315656177,0.03209927373650998,1.2845622343487726e-06,,1.8182720435498157e-12,1.0006838141274093e-12,1.683872251028791e-12,1.260039956327497e-12,2.1323769045795535e-13,9.239935193200514e-14
EO,C3,-4.049020640257928e-08,4.292196260949733e-11,-0.04567296669197696,0.6064975561048684,6.921482804811938e-05,0.0004926076023379521,0.0015272090759548833,0.025802681314158006,2.575114873905681e-06,,3.763315060509094e-12,2.3325824476602743e-12,3.1947301436668554e-12,2.623949663627856e-12,4.411607142623736e-13,9.086284838586756e-14
EO,Cz,-7.217100337673719e-08,7.998682894883309e-11,-0.024829161539514144,0.31612109518966225,8.105757170737729e-05,0.0006501883730336859,0.002091902819776071,0.052550410930642596,4.8003749964836255e-06,,7.742107294517425e-12,4.22176315341957e-12,5.511734225752063e-12,4.116404924529547e-12,7.24166106300467e-13,1.2318805421568274e-13
EO,C4,-5.140607473785108e-08,4.845262712219255e-11,-0.027249164458067764,0.7157706465617797,6.690948759326734e-05,0.0005203604564205601,0.001623608659859012,0.027214462083344514,2.9074416843019748e-06,,4.002136284196198e-12,2.497322571337345e-12,3.5657281087427887e-12,3.0805055613051946e-12,5.472105415211831e-13,8.530675741600896e-14
EO,T8,-2.9625164377977522e-08,2.674009710728742e-11,-0.09995519139716114,0.4167422523197608,5.2201103770773506e-05,0.0003973986636123537,0.0012026188585106286,0.020907158241994676,1.6045188817966206e-06,,2.1421372655026083e-12,1.4074054649160055e-12,2.1434021483532918e-12,1.4792965599138487e-12,2.606701978986434e-13,7.814342145083218e-14
EO,CP3,-3.1169675848776114e-08,5.0817853351917135e-11,-0.21686463217442012,0.8967236175830751,7.199786001508123e-05,0.000532105807178606,0.0016629899382074678,0.022192554203964227,3.0489475377549678e-06,,3.842111067194458e-12,2.5612359468515355e-12,3.381790059808524e-12,3.5678279910904217e-12,5.936261517603113e-13,8.675572838635792e-14
EO,CPz,-5.2363206251402644e-08,7.599502344512456e-11,-0.1520991851005158,0.6155324436672505,8.040273187073573e-05,0.0006349553441372733,0.002038630337283582,0.030403688598629585,4.561194754573649e-06,,6.175791358161488e-12,3.791695425338799e-12,4.824449848182775e-12,4.588794479496235e-12,8.637266751127208e-13,1.0500660751534316e-13
EO,CP4,-5.031926461724003e-08,5.591423876043951e-11,-0.12637279652457323,0.7853691989078304,7.500859835453378e-05,0.00055599305246268,0.0017451002040014783,0.022452315585183662,3.3551436026390413e-06,,4.045612702586875e-12,2.6266881392836927e-12,3.467575083133123e-12,4.004119834016765e-12,7.025058631260024e-13,8.416732477839301e-14
EO,P7,5.960366889823313e-09,2.507392184300885e-11,-0.18839290424986796,1.0949369484375415,5.52995400656509e-05,0.0003827987463943149,0.001165193930760695,0.017689803570171303,1.504785022335193e-06,,1.3271170611862401e-12,1.0488283903307344e-12,1.8570873814723307e-12,2.3074801739464464e-12,2.3504771123876165e-13,8.077418155838848e-14
EO,P3,-1.9886181232309746e-08,5.278588867324495e-11,-0.2802044677029213,1.1284868238056145,8.535804040190093e-05,0.0005294531530903295,0.0016989353519579384,0.030195200682794188,3.1670673003800896e-06,,3.585675127911039e-12,2.3250002770347464e-12,3.1843616661517444e-12,4.31352921928992e-12,5.347335563078005e-13,8.823917840928116e-14
EO,Pz,-5.0820932191936455e-08,7.445114092966445e-11,-0.20675836689632032,0.7089631711971771,7.410598724188962e-05,0.0006179893720050107,0.0020210498446066047,0.046378399842464606,4.4680382148861415e-06,,5.303798604893421e-12,3.2321070095948386e-12,4.063387799210079e-12,5.518512048763017e-12,7.693938394084753e-13,1.0073518914769218e-13
EO,P4,-4.5054298982451536e-08,5.7602143743751e-11,-0.14800787762818152,0.791331972635489,7.274875855876794e-05,0.0005518035130593558,0.0017751746008292028,0.025833496499429363,3.455996199423048e-06,,3.838160076845644e-12,2.288382014232252e-12,2.9240722327425504e-12,4.905977353232915e-12,6.369981151584136e-13,8.181194363696784e-14
EO,P8,-2.126382495527601e-08,3.2275988551128336e-11,-0.09571100550997115,0.8377318057042431,5.224751904743974e-05,0.00042673570503509695,0.0013244593584420363,0.023708936506762247,1.9368260504303707e-06,,1.8127669942533659e-12,1.0330637612658962e-12,1.6130975309904663e-12,3.022189601239762e-12,2.960136113515707e-13,8.291140665053751e-14
EO,O1,-1.9848729853082626e-08,4.666003453732909e-11,-0.14633219727004562,0.7748806721653518,5.958693612175076e-05,0.0004844101448381582,0.0016014220487696686,0.030987741581698702,2.7995096992975578e-06,,2.281072326817073e-12,1.3587175358382302e-12,2.258235282706049e-12,5.067672918973875e-12,3.590718234830314e-13,9.165567929091976e-14
EO,Oz,-1.812399943429765e-08,4.475794567995343e-11,-0.07209849237587895,0.632990797795022,5.676973550801919e-05,0.0004824007686374224,0.0015660086601002965,0.029730048728348474,2.6858781424202894e-06,,2.464799247472133e-12,1.2212098252128913e-12,1.8183189769919895e-12,4.5703814146932784e-12,3.409126985989725e-13,9.890724326540661e-14
